__run_id,__done,sampling,code,Time,TOTAL_DRAM_ENERGY (J),TOTAL_PACKAGE_ENERGY (J),TOTAL_PP0_ENERGY (J),TOTAL_PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,AVG_USED_MEMORY,AVG_USED_SWAP,TOTAL_ENERGY (J)
run_2_repetition_12,DONE,200,79,100.652,0,111411574.103,130213561.778,0,67221331968.0,8589930496.0,2184878100.277,0.0,4345.812
run_3_repetition_12,DONE,200,63,15.009,0,17208112.907,20021988.349,0,67221331968.0,8589930496.0,2185520380.675,0.0,719.33
run_4_repetition_12,DONE,200,90,10.406,0,12119315.238,14070675.06,0,67221331968.0,8589930496.0,2188542558.815,0.0,494.294
run_5_repetition_12,DONE,200,53,92.647,0,105680360.725,42486609.022,0,67221331968.0,8589930496.0,2183869878.228,0.0,4512.122
run_6_repetition_12,DONE,200,66,0.403,0,919492.113,10321.684,0,67221331968.0,8589930496.0,2183831552.0,0.0,7.98
run_7_repetition_12,DONE,200,52,28.616,0,33480482.187,462318.828,0,67221331968.0,8589930496.0,2192181742.345,0.0,1379.127
run_8_repetition_12,DONE,200,16,0.203,0,695795.256,11396.334,0,67221331968.0,8589930496.0,2172518400.0,0.0,0.009
run_0_repetition_13,DONE,200,4,14.809,0,17679212.61,312695.045,0,67221331968.0,8589930496.0,2181772665.263,0.0,710.89
run_1_repetition_13,DONE,200,61,16.609,0,19861843.304,402505.825,0,67221331968.0,8589930496.0,2180214205.741,0.0,706.155
run_2_repetition_13,DONE,200,79,85.043,0,100956618.368,2920577.722,0,67221331968.0,8589930496.0,2179999710.426,0.0,4139.449
run_3_repetition_13,DONE,200,63,15.609,0,19136746.087,717270.068,0,67221331968.0,8589930496.0,2183177113.6,0.0,748.662
run_4_repetition_13,DONE,200,90,9.006,0,11286540.448,445933.21,0,67221331968.0,8589930496.0,2184434186.894,0.0,427.993
run_5_repetition_13,DONE,200,53,94.649,0,115425556.214,5550346.475,0,67221331968.0,8589930496.0,2178632762.206,0.0,4610.066
run_6_repetition_13,DONE,200,66,0.402,0,982634.467,54808.984,0,67221331968.0,8589930496.0,2177263616.0,0.0,8.692
run_7_repetition_13,DONE,200,52,27.616,0,34532704.317,2000678.147,0,67221331968.0,8589930496.0,2183583831.771,0.0,1331.477
run_8_repetition_13,DONE,200,16,-1,0,743000.282,44644.309,0,67221331968.0,8589930496.0,2180105557.333,0.0,-1
run_0_repetition_14,DONE,200,4,15.017,0,19123671.534,1170413.143,0,67221331968.0,8589930496.0,2186608640.0,0.0,718.706
run_1_repetition_14,DONE,200,61,13.009,0,16707841.696,1058484.059,0,67221331968.0,8589930496.0,2183814556.657,0.0,622.33
run_2_repetition_14,DONE,200,79,102.851,0,130152439.625,9274805.009,0,67221331968.0,8589930496.0,2181415046.946,0.0,4437.64
run_3_repetition_14,DONE,200,63,18.212,0,23731594.822,1879670.911,0,67221331968.0,8589930496.0,2180347001.118,0.0,774.957
run_4_repetition_14,DONE,200,90,9.207,0,12294277.39,995808.764,0,67221331968.0,8589930496.0,2184096256.0,0.0,437.535
run_5_repetition_14,DONE,200,53,-1,0,164483249.833,16581533.769,0,67221331968.0,8589930496.0,2184054932.153,0.0,-1
run_6_repetition_14,DONE,200,66,0.402,0,3758.658,104460.263,0,67221331968.0,8589930496.0,2178753536.0,0.0,8.324
run_7_repetition_14,DONE,200,52,28.215,0,279932.172,3820531.996,0,67221331968.0,8589930496.0,2199678775.497,0.0,1361.425
run_8_repetition_14,DONE,200,16,0.204,0,8940.509,81970.234,0,67221331968.0,8589930496.0,2187492010.667,0.0,0.01
run_0_repetition_15,DONE,200,4,18.813,0,356710.98,2656666.205,0,67221331968.0,8589930496.0,2190418773.333,0.0,801.098
run_1_repetition_15,DONE,200,61,15.008,0,370372.226,2182057.77,0,67221331968.0,8589930496.0,2176739460.987,0.0,718.841
run_2_repetition_15,DONE,200,79,81.242,0,3054833.24,12394897.883,0,67221331968.0,8589930496.0,2175644611.765,0.0,3952.4
run_3_repetition_15,DONE,200,63,15.008,0,783062.746,2496504.093,0,67221331968.0,8589930496.0,2175156755.948,0.0,719.934
run_4_repetition_15,DONE,200,90,11.008,0,632998.831,1878156.939,0,67221331968.0,8589930496.0,2177367489.123,0.0,464.893
run_5_repetition_15,DONE,200,53,105.053,0,7390631.599,18536220.679,0,67221331968.0,8589930496.0,2169295718.497,0.0,4623.867
run_6_repetition_15,DONE,200,66,0.403,0,66618.29,148556.404,0,67221331968.0,8589930496.0,2169038848.0,0.0,9.148
run_7_repetition_15,DONE,200,52,27.615,0,2472614.369,5281928.178,0,67221331968.0,8589930496.0,2186732456.229,0.0,1333.758
run_8_repetition_15,DONE,200,16,0.203,0,56036.399,114968.828,0,67221331968.0,8589930496.0,2186104832.0,0.0,0.011
run_0_repetition_16,DONE,200,4,15.21,0,1511267.253,3014555.882,0,67221331968.0,8589930496.0,2195325348.103,0.0,730.583
run_1_repetition_16,DONE,200,61,13.008,0,1366071.699,2629766.134,0,67221331968.0,8589930496.0,2192494347.463,0.0,621.648
run_2_repetition_16,DONE,200,79,84.043,0,9741307.213,17431998.562,0,67221331968.0,8589930496.0,2185197072.986,0.0,4093.359
